dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
HandMovementDirection,rocket_ridge,1000,,,,0,0.45833333333333337,0.306,0.709,1.015,ok
HandMovementDirection,rocket_linear,1000,,,,0,0.23333333333333334,2.4911,0.709,3.2001,ok
HandMovementDirection,rocket_ridge,1000,,,,1,0.3011904761904762,0.4056,0.7912,1.1968,ok
HandMovementDirection,rocket_linear,1000,,,,1,0.30952380952380953,2.5697,0.7912,3.3609,ok
HandMovementDirection,rocket_ridge,1000,,,,2,0.32857142857142857,0.2947,0.7731,1.0678,ok
HandMovementDirection,rocket_linear,1000,,,,2,0.3452380952380952,2.3845,0.7731,3.1576,ok
HandMovementDirection,rocket_ridge,1000,,,,3,0.275,0.3993,0.7016,1.1009,ok
HandMovementDirection,rocket_linear,1000,,,,3,0.36904761904761907,2.2496,0.7016,2.9512,ok
HandMovementDirection,rocket_ridge,1000,,,,4,0.32857142857142857,0.3115,0.7102,1.0217,ok
HandMovementDirection,rocket_linear,1000,,,,4,0.27142857142857146,2.5576,0.7102,3.2678,ok
HandMovementDirection,rocket_ridge,1000,,,,5,0.41428571428571426,0.3101,0.7676,1.0777,ok
HandMovementDirection,rocket_linear,1000,,,,5,0.319047619047619,2.8026,0.7676,3.5702,ok
HandMovementDirection,rocket_ridge,1000,,,,6,0.3952380952380952,0.2811,0.767,1.0481,ok
HandMovementDirection,rocket_linear,1000,,,,6,0.3333333333333333,2.165,0.767,2.932,ok
HandMovementDirection,rocket_ridge,1000,,,,7,0.3869047619047619,0.4491,0.6676,1.1167,ok
HandMovementDirection,rocket_linear,1000,,,,7,0.3511904761904762,2.5764,0.6676,3.244,ok
HandMovementDirection,rocket_ridge,1000,,,,8,0.21785714285714283,0.2787,0.6602,0.9389,ok
HandMovementDirection,rocket_linear,1000,,,,8,0.26666666666666666,2.311,0.6602,2.9712,ok
HandMovementDirection,rocket_ridge,1000,,,,9,0.29285714285714287,0.2902,0.6127,0.9029,ok
HandMovementDirection,rocket_linear,1000,,,,9,0.3107142857142857,2.566,0.6127,3.1787,ok
