dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Heartbeat,rocket_ridge,1000,,,,0,0.5774656235182551,0.4367,1.3909,1.8276,ok
Heartbeat,rocket_linear,1000,,,,0,0.534198672356567,1.3395,1.3909,2.7304,ok
Heartbeat,rocket_ridge,1000,,,,1,0.56733048838312,0.4038,1.2817,1.6855,ok
Heartbeat,rocket_linear,1000,,,,1,0.55766951161688,1.1127,1.2817,2.3944,ok
Heartbeat,rocket_ridge,1000,,,,2,0.5518018018018018,0.3862,1.7084,2.0946,ok
Heartbeat,rocket_linear,1000,,,,2,0.5,1.3223,1.7084,3.0307,ok
Heartbeat,rocket_ridge,1000,,,,3,0.5423779042200094,0.3603,1.2833,1.6436,ok
Heartbeat,rocket_linear,1000,,,,3,0.5436818397344714,1.2215,1.2833,2.5048,ok
Heartbeat,rocket_ridge,1000,,,,4,0.5794807965860598,0.4782,1.3294,1.8076,ok
Heartbeat,rocket_linear,1000,,,,4,0.5446301564722618,1.231,1.3294,2.5604,ok
Heartbeat,rocket_ridge,1000,,,,5,0.5659672830725462,0.435,1.2668,1.7018,ok
Heartbeat,rocket_linear,1000,,,,5,0.5,1.4927,1.2668,2.7595,ok
Heartbeat,rocket_ridge,1000,,,,6,0.5471194879089616,0.4527,1.2247,1.6774,ok
Heartbeat,rocket_linear,1000,,,,6,0.5299905168326221,1.4285,1.2247,2.6532,ok
Heartbeat,rocket_ridge,1000,,,,7,0.5416666666666666,0.5428,1.639,2.1818,ok
Heartbeat,rocket_linear,1000,,,,7,0.503022759601707,1.4652,1.639,3.1042,ok
Heartbeat,rocket_ridge,1000,,,,8,0.5510905642484589,0.3888,1.4471,1.8359,ok
Heartbeat,rocket_linear,1000,,,,8,0.5307017543859649,1.5091,1.4471,2.9562,ok
Heartbeat,rocket_ridge,1000,,,,9,0.5457562825983879,0.508,1.4711,1.9791,ok
Heartbeat,rocket_linear,1000,,,,9,0.5596846846846847,1.4285,1.4711,2.8996,ok
