dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
Heartbeat,rocket_ridge,10000,,,,0,0.539058795637743,2.8531,11.2623,14.1154,ok
Heartbeat,rocket_linear,10000,,,,0,0.5219890943575154,2.3513,11.2623,13.6136,ok
Heartbeat,rocket_ridge,10000,,,,1,0.5599810336652442,2.0927,11.4621,13.5548,ok
Heartbeat,rocket_linear,10000,,,,1,0.5669748696064485,2.3846,11.4621,13.8467,ok
Heartbeat,rocket_ridge,10000,,,,2,0.5397107633949739,2.1719,11.3602,13.5321,ok
Heartbeat,rocket_linear,10000,,,,2,0.5112612612612613,2.2102,11.3602,13.5704,ok
Heartbeat,rocket_ridge,10000,,,,3,0.5862968231389284,2.8853,11.375,14.2603,ok
Heartbeat,rocket_linear,10000,,,,3,0.6257112375533428,2.1632,11.375,13.5382,ok
Heartbeat,rocket_ridge,10000,,,,4,0.5302868658131816,2.0791,11.5566,13.6357,ok
Heartbeat,rocket_linear,10000,,,,4,0.5481863442389758,2.2564,11.5566,13.813,ok
Heartbeat,rocket_ridge,10000,,,,5,0.5484826932195352,2.1646,11.4408,13.6054,ok
Heartbeat,rocket_linear,10000,,,,5,0.4841749644381223,2.2874,11.4408,13.7282,ok
Heartbeat,rocket_ridge,10000,,,,6,0.555239449976292,2.1056,11.2547,13.3603,ok
Heartbeat,rocket_linear,10000,,,,6,0.5787102892366051,2.3411,11.2547,13.5958,ok
Heartbeat,rocket_ridge,10000,,,,7,0.5599810336652442,2.1526,11.3206,13.4732,ok
Heartbeat,rocket_linear,10000,,,,7,0.5368658131816026,2.2807,11.3206,13.6013,ok
Heartbeat,rocket_ridge,10000,,,,8,0.549845898530109,2.7472,11.1755,13.9227,ok
Heartbeat,rocket_linear,10000,,,,8,0.5178994784257942,2.0847,11.1755,13.2602,ok
Heartbeat,rocket_ridge,10000,,,,9,0.5545874822190612,2.0779,9.6395,11.7174,ok
Heartbeat,rocket_linear,10000,,,,9,0.47060218112849694,1.9462,9.6395,11.5857,ok
