dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
RacketSports,rocket_ridge,100,,,,0,0.8268040355677154,0.1693,0.0355,0.2048,ok
RacketSports,rocket_linear,100,,,,0,0.8056221907367598,0.8102,0.0355,0.8457,ok
RacketSports,rocket_ridge,100,,,,1,0.8157318741450068,0.1662,0.0949,0.2611,ok
RacketSports,rocket_linear,100,,,,1,0.7315468047684189,0.8403,0.0949,0.9352,ok
RacketSports,rocket_ridge,100,,,,2,0.8140988372093023,0.1632,0.0957,0.2589,ok
RacketSports,rocket_linear,100,,,,2,0.7942251319132304,0.9559,0.0957,1.0516,ok
RacketSports,rocket_ridge,100,,,,3,0.8487517099863201,0.1513,0.0947,0.246,ok
RacketSports,rocket_linear,100,,,,3,0.7837991010357632,0.9197,0.0947,1.0144,ok
RacketSports,rocket_ridge,100,,,,4,0.8252699335548173,0.1476,0.1215,0.2691,ok
RacketSports,rocket_linear,100,,,,4,0.7274709302325582,0.762,0.1215,0.8835,ok
RacketSports,rocket_ridge,100,,,,5,0.7938098495212038,0.1517,0.0992,0.2509,ok
RacketSports,rocket_linear,100,,,,5,0.7583374047293336,0.7945,0.0992,0.8937,ok
RacketSports,rocket_ridge,100,,,,6,0.8179377564979481,0.1536,0.0984,0.252,ok
RacketSports,rocket_linear,100,,,,6,0.8198920265780731,0.792,0.0984,0.8904,ok
RacketSports,rocket_ridge,100,,,,7,0.8174809458667188,0.1575,0.0963,0.2538,ok
RacketSports,rocket_linear,100,,,,7,0.6888838675004886,0.7522,0.0963,0.8485,ok
RacketSports,rocket_ridge,100,,,,8,0.8319767441860465,0.1507,0.0927,0.2434,ok
RacketSports,rocket_linear,100,,,,8,0.7870822747703732,0.7133,0.0927,0.806,ok
RacketSports,rocket_ridge,100,,,,9,0.7554121067031463,0.16,0.0944,0.2544,ok
RacketSports,rocket_linear,100,,,,9,0.6761737834668751,0.8687,0.0944,0.9631,ok
