dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
RacketSports,rocket_ridge,10,,,,0,0.7191836036740278,0.3008,0.0864,0.3872,ok
RacketSports,rocket_linear,10,,,,0,0.6051348446355286,0.6521,0.0864,0.7385,ok
RacketSports,rocket_ridge,10,,,,1,0.603720441665038,0.1236,0.0036,0.1272,ok
RacketSports,rocket_linear,10,,,,1,0.6062096931795974,0.836,0.0036,0.8396,ok
RacketSports,rocket_ridge,10,,,,2,0.6443472737932382,0.1121,0.0036,0.1157,ok
RacketSports,rocket_linear,10,,,,2,0.6718572894273989,0.65,0.0036,0.6536,ok
RacketSports,rocket_ridge,10,,,,3,0.6071306429548564,0.1091,0.0034,0.1125,ok
RacketSports,rocket_linear,10,,,,3,0.6225608266562439,0.7027,0.0034,0.7061,ok
RacketSports,rocket_ridge,10,,,,4,0.653406537033418,0.1171,0.0035,0.1206,ok
RacketSports,rocket_linear,10,,,,4,0.578264852452609,0.6355,0.0035,0.639,ok
RacketSports,rocket_ridge,10,,,,5,0.507124535860856,0.1169,0.0034,0.1203,ok
RacketSports,rocket_linear,10,,,,5,0.5068936877076412,0.6013,0.0034,0.6047,ok
RacketSports,rocket_ridge,10,,,,6,0.6076082177056868,0.1175,0.0037,0.1212,ok
RacketSports,rocket_linear,10,,,,6,0.5787118917334375,0.6366,0.0037,0.6403,ok
RacketSports,rocket_ridge,10,,,,7,0.5615680574555404,0.1228,0.0038,0.1266,ok
RacketSports,rocket_linear,10,,,,7,0.5896667969513387,0.5925,0.0038,0.5963,ok
RacketSports,rocket_ridge,10,,,,8,0.7400649794801641,0.123,0.0038,0.1268,ok
RacketSports,rocket_linear,10,,,,8,0.48083349618917337,0.672,0.0038,0.6758,ok
RacketSports,rocket_ridge,10,,,,9,0.5866987492671487,0.1218,0.0038,0.1256,ok
RacketSports,rocket_linear,10,,,,9,0.5166467168262654,0.7646,0.0038,0.7684,ok
