dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
RacketSports,rocket_ridge,1000,,,,0,0.8922965116279069,0.3985,0.166,0.5645,ok
RacketSports,rocket_linear,1000,,,,0,0.8105848153214774,1.621,0.166,1.787,ok
RacketSports,rocket_ridge,1000,,,,1,0.873546511627907,0.2876,0.1651,0.4527,ok
RacketSports,rocket_linear,1000,,,,1,0.8601536544850499,1.3416,0.1651,1.5067,ok
RacketSports,rocket_ridge,1000,,,,2,0.885610465116279,0.3018,0.211,0.5128,ok
RacketSports,rocket_linear,1000,,,,2,0.8494186046511628,1.4535,0.211,1.6645,ok
RacketSports,rocket_ridge,1000,,,,3,0.873546511627907,0.2671,0.14,0.4071,ok
RacketSports,rocket_linear,1000,,,,3,0.8067458960328318,1.5435,0.14,1.6835,ok
RacketSports,rocket_ridge,1000,,,,4,0.8502906976744187,0.2941,0.1751,0.4692,ok
RacketSports,rocket_linear,1000,,,,4,0.8310838870431894,1.7399,0.1751,1.915,ok
RacketSports,rocket_ridge,1000,,,,5,0.8556686046511628,0.2942,0.1401,0.4343,ok
RacketSports,rocket_linear,1000,,,,5,0.8217559116669924,1.3191,0.1401,1.4592,ok
RacketSports,rocket_ridge,1000,,,,6,0.8976744186046511,0.2625,0.136,0.3985,ok
RacketSports,rocket_linear,1000,,,,6,0.8157159957006059,1.7241,0.136,1.8601,ok
RacketSports,rocket_ridge,1000,,,,7,0.8666296169630643,0.284,0.1528,0.4368,ok
RacketSports,rocket_linear,1000,,,,7,0.7853332030486613,1.432,0.1528,1.5848,ok
RacketSports,rocket_ridge,1000,,,,8,0.8744186046511628,0.2737,0.1413,0.415,ok
RacketSports,rocket_linear,1000,,,,8,0.8049601817471175,1.9246,0.1413,2.0659,ok
RacketSports,rocket_ridge,1000,,,,9,0.873546511627907,0.2895,0.1405,0.43,ok
RacketSports,rocket_linear,1000,,,,9,0.7879958960328317,1.2704,0.1405,1.4109,ok
