dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
RacketSports,rocket_ridge,10000,,,,0,0.8802325581395349,2.6508,0.5593,3.2101,ok
RacketSports,rocket_linear,10000,,,,0,0.8091569767441861,6.31,0.5593,6.8693,ok
RacketSports,rocket_ridge,10000,,,,1,0.8918604651162791,2.0793,0.6009,2.6802,ok
RacketSports,rocket_linear,10000,,,,1,0.8306478405315615,5.9276,0.6009,6.5285,ok
RacketSports,rocket_ridge,10000,,,,2,0.898110465116279,2.045,0.8482,2.8932,ok
RacketSports,rocket_linear,10000,,,,2,0.8594867598202072,5.5461,0.8482,6.3943,ok
RacketSports,rocket_ridge,10000,,,,3,0.9043604651162791,1.9852,0.5786,2.5638,ok
RacketSports,rocket_linear,10000,,,,3,0.8265988372093023,4.9328,0.5786,5.5114,ok
RacketSports,rocket_ridge,10000,,,,4,0.898110465116279,2.0301,0.5744,2.6045,ok
RacketSports,rocket_linear,10000,,,,4,0.8690406976744186,5.2381,0.5744,5.8125,ok
RacketSports,rocket_ridge,10000,,,,5,0.9101744186046512,1.9723,0.5756,2.5479,ok
RacketSports,rocket_linear,10000,,,,5,0.8694767441860465,5.8188,0.5756,6.3944,ok
RacketSports,rocket_ridge,10000,,,,6,0.9039244186046511,1.8423,0.4959,2.3382,ok
RacketSports,rocket_linear,10000,,,,6,0.8187890854016026,4.6427,0.4959,5.1386,ok
RacketSports,rocket_ridge,10000,,,,7,0.8681686046511627,1.8712,0.5344,2.4056,ok
RacketSports,rocket_linear,10000,,,,7,0.8724435704514364,4.781,0.5344,5.3154,ok
RacketSports,rocket_ridge,10000,,,,8,0.9039244186046511,1.8842,0.518,2.4022,ok
RacketSports,rocket_linear,10000,,,,8,0.8241877564979481,5.2543,0.518,5.7723,ok
RacketSports,rocket_ridge,10000,,,,9,0.9034883720930232,1.8055,0.49,2.2955,ok
RacketSports,rocket_linear,10000,,,,9,0.861687756497948,4.8513,0.49,5.3413,ok
