dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
StandWalkJump,rocket_ridge,10,,,,0,0.26666666666666666,0.2603,0.1042,0.3645,ok
StandWalkJump,rocket_linear,10,,,,0,0.3333333333333333,0.3289,0.1042,0.4331,ok
StandWalkJump,rocket_ridge,10,,,,1,0.4666666666666666,0.0929,0.0081,0.101,ok
StandWalkJump,rocket_linear,10,,,,1,0.4000000000000001,0.2927,0.0081,0.3008,ok
StandWalkJump,rocket_ridge,10,,,,2,0.4666666666666666,0.0944,0.0077,0.1021,ok
StandWalkJump,rocket_linear,10,,,,2,0.3333333333333333,0.1721,0.0077,0.1798,ok
StandWalkJump,rocket_ridge,10,,,,3,0.4000000000000001,0.0914,0.0071,0.0985,ok
StandWalkJump,rocket_linear,10,,,,3,0.4666666666666666,0.241,0.0071,0.2481,ok
StandWalkJump,rocket_ridge,10,,,,4,0.6000000000000001,0.0922,0.0081,0.1003,ok
StandWalkJump,rocket_linear,10,,,,4,0.3333333333333333,0.1717,0.0081,0.1798,ok
StandWalkJump,rocket_ridge,10,,,,5,0.5333333333333333,0.1002,0.0072,0.1074,ok
StandWalkJump,rocket_linear,10,,,,5,0.3333333333333333,0.2916,0.0072,0.2988,ok
StandWalkJump,rocket_ridge,10,,,,6,0.39999999999999997,0.0922,0.0083,0.1005,ok
StandWalkJump,rocket_linear,10,,,,6,0.4666666666666666,0.2854,0.0083,0.2937,ok
StandWalkJump,rocket_ridge,10,,,,7,0.26666666666666666,0.0925,0.0074,0.0999,ok
StandWalkJump,rocket_linear,10,,,,7,0.3333333333333333,0.1978,0.0074,0.2052,ok
StandWalkJump,rocket_ridge,10,,,,8,0.4000000000000001,0.0997,0.0069,0.1066,ok
StandWalkJump,rocket_linear,10,,,,8,0.3333333333333333,0.247,0.0069,0.2539,ok
StandWalkJump,rocket_ridge,10,,,,9,0.26666666666666666,0.0888,0.0074,0.0962,ok
StandWalkJump,rocket_linear,10,,,,9,0.20000000000000004,0.2528,0.0074,0.2602,ok
