dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
StandWalkJump,rocket_ridge,100,,,,0,0.4666666666666666,0.1032,0.5998,0.703,ok
StandWalkJump,rocket_linear,100,,,,0,0.3333333333333333,0.303,0.5998,0.9028,ok
StandWalkJump,rocket_ridge,100,,,,1,0.4666666666666666,0.0998,0.0416,0.1414,ok
StandWalkJump,rocket_linear,100,,,,1,0.3333333333333333,0.3168,0.0416,0.3584,ok
StandWalkJump,rocket_ridge,100,,,,2,0.5333333333333333,0.0989,0.0415,0.1404,ok
StandWalkJump,rocket_linear,100,,,,2,0.3333333333333333,0.2787,0.0415,0.3202,ok
StandWalkJump,rocket_ridge,100,,,,3,0.4666666666666666,0.0996,0.0406,0.1402,ok
StandWalkJump,rocket_linear,100,,,,3,0.4000000000000001,0.2774,0.0406,0.318,ok
StandWalkJump,rocket_ridge,100,,,,4,0.4666666666666666,0.0986,0.0428,0.1414,ok
StandWalkJump,rocket_linear,100,,,,4,0.6,0.2735,0.0428,0.3163,ok
StandWalkJump,rocket_ridge,100,,,,5,0.4000000000000001,0.0952,0.0412,0.1364,ok
StandWalkJump,rocket_linear,100,,,,5,0.3333333333333333,0.286,0.0412,0.3272,ok
StandWalkJump,rocket_ridge,100,,,,6,0.6,0.0975,0.0433,0.1408,ok
StandWalkJump,rocket_linear,100,,,,6,0.6,0.2922,0.0433,0.3355,ok
StandWalkJump,rocket_ridge,100,,,,7,0.4666666666666666,0.0964,0.0411,0.1375,ok
StandWalkJump,rocket_linear,100,,,,7,0.4666666666666666,0.2751,0.0411,0.3162,ok
StandWalkJump,rocket_ridge,100,,,,8,0.3333333333333333,0.1003,0.0446,0.1449,ok
StandWalkJump,rocket_linear,100,,,,8,0.3333333333333333,0.28,0.0446,0.3246,ok
StandWalkJump,rocket_ridge,100,,,,9,0.5333333333333333,0.0969,0.049,0.1459,ok
StandWalkJump,rocket_linear,100,,,,9,0.5333333333333333,0.2622,0.049,0.3112,ok
