dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
UWaveGestureLibrary,rocket_ridge,10,,,,0,0.725,0.2833,0.1059,0.3892,ok
UWaveGestureLibrary,rocket_linear,10,,,,0,0.659375,0.7707,0.1059,0.8766,ok
UWaveGestureLibrary,rocket_ridge,10,,,,1,0.746875,0.1221,0.0105,0.1326,ok
UWaveGestureLibrary,rocket_linear,10,,,,1,0.7218749999999999,0.6237,0.0105,0.6342,ok
UWaveGestureLibrary,rocket_ridge,10,,,,2,0.7,0.1227,0.014,0.1367,ok
UWaveGestureLibrary,rocket_linear,10,,,,2,0.625,0.8598,0.014,0.8738,ok
UWaveGestureLibrary,rocket_ridge,10,,,,3,0.734375,0.1215,0.0087,0.1302,ok
UWaveGestureLibrary,rocket_linear,10,,,,3,0.65625,0.7153,0.0087,0.724,ok
UWaveGestureLibrary,rocket_ridge,10,,,,4,0.765625,0.1117,0.0108,0.1225,ok
UWaveGestureLibrary,rocket_linear,10,,,,4,0.6625000000000001,0.6946,0.0108,0.7054,ok
UWaveGestureLibrary,rocket_ridge,10,,,,5,0.734375,0.1192,0.0082,0.1274,ok
UWaveGestureLibrary,rocket_linear,10,,,,5,0.74375,0.7755,0.0082,0.7837,ok
UWaveGestureLibrary,rocket_ridge,10,,,,6,0.690625,0.1198,0.027,0.1468,ok
UWaveGestureLibrary,rocket_linear,10,,,,6,0.640625,0.9693,0.027,0.9963,ok
UWaveGestureLibrary,rocket_ridge,10,,,,7,0.759375,0.1068,0.0084,0.1152,ok
UWaveGestureLibrary,rocket_linear,10,,,,7,0.6625,0.7041,0.0084,0.7125,ok
UWaveGestureLibrary,rocket_ridge,10,,,,8,0.703125,0.1073,0.0093,0.1166,ok
UWaveGestureLibrary,rocket_linear,10,,,,8,0.5375000000000001,0.7475,0.0093,0.7568,ok
UWaveGestureLibrary,rocket_ridge,10,,,,9,0.7718750000000001,0.1095,0.0094,0.1189,ok
UWaveGestureLibrary,rocket_linear,10,,,,9,0.565625,0.7981,0.0094,0.8075,ok
