dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
UWaveGestureLibrary,rocket_ridge,1000,,,,0,0.928125,0.2616,0.6169,0.8785,ok
UWaveGestureLibrary,rocket_linear,1000,,,,0,0.8875000000000001,1.664,0.6169,2.2809,ok
UWaveGestureLibrary,rocket_ridge,1000,,,,1,0.9281250000000001,0.2811,0.6724,0.9535,ok
UWaveGestureLibrary,rocket_linear,1000,,,,1,0.90625,1.5277,0.6724,2.2001,ok
UWaveGestureLibrary,rocket_ridge,1000,,,,2,0.921875,0.2535,0.6336,0.8871,ok
UWaveGestureLibrary,rocket_linear,1000,,,,2,0.875,1.404,0.6336,2.0376,ok
UWaveGestureLibrary,rocket_ridge,1000,,,,3,0.928125,0.2855,0.6592,0.9447,ok
UWaveGestureLibrary,rocket_linear,1000,,,,3,0.890625,1.5784,0.6592,2.2376,ok
UWaveGestureLibrary,rocket_ridge,1000,,,,4,0.93125,0.2666,0.7839,1.0505,ok
UWaveGestureLibrary,rocket_linear,1000,,,,4,0.91875,1.372,0.7839,2.1559,ok
UWaveGestureLibrary,rocket_ridge,1000,,,,5,0.890625,0.2546,0.6881,0.9427,ok
UWaveGestureLibrary,rocket_linear,1000,,,,5,0.890625,1.4366,0.6881,2.1247,ok
UWaveGestureLibrary,rocket_ridge,1000,,,,6,0.93125,0.2804,0.6415,0.9219,ok
UWaveGestureLibrary,rocket_linear,1000,,,,6,0.875,1.3757,0.6415,2.0172,ok
UWaveGestureLibrary,rocket_ridge,1000,,,,7,0.921875,0.2577,0.6874,0.9451,ok
UWaveGestureLibrary,rocket_linear,1000,,,,7,0.890625,1.3068,0.6874,1.9942,ok
UWaveGestureLibrary,rocket_ridge,1000,,,,8,0.9312499999999999,0.2567,0.6134,0.8701,ok
UWaveGestureLibrary,rocket_linear,1000,,,,8,0.896875,1.3496,0.6134,1.963,ok
UWaveGestureLibrary,rocket_ridge,1000,,,,9,0.9281250000000001,0.2533,0.6191,0.8724,ok
UWaveGestureLibrary,rocket_linear,1000,,,,9,0.8875,1.4149,0.6191,2.034,ok
