dataset,method,budget,depth,until_weight,only_temporal,seed,balanced_accuracy,time_fit_s,time_feats_s,time_total_s,status
UWaveGestureLibrary,rocket_ridge,10000,,,,0,0.921875,2.1243,5.4843,7.6086,ok
UWaveGestureLibrary,rocket_linear,10000,,,,0,0.86875,6.7539,5.4843,12.2382,ok
UWaveGestureLibrary,rocket_ridge,10000,,,,1,0.9249999999999999,1.5972,5.6819,7.2791,ok
UWaveGestureLibrary,rocket_linear,10000,,,,1,0.875,6.2575,5.6819,11.9394,ok
UWaveGestureLibrary,rocket_ridge,10000,,,,2,0.921875,1.5909,5.6793,7.2702,ok
UWaveGestureLibrary,rocket_linear,10000,,,,2,0.896875,6.5551,5.6793,12.2344,ok
UWaveGestureLibrary,rocket_ridge,10000,,,,3,0.9187500000000001,1.5411,5.7749,7.316,ok
UWaveGestureLibrary,rocket_linear,10000,,,,3,0.890625,6.3091,5.7749,12.084,ok
UWaveGestureLibrary,rocket_ridge,10000,,,,4,0.915625,1.5961,5.6818,7.2779,ok
UWaveGestureLibrary,rocket_linear,10000,,,,4,0.890625,6.2041,5.6818,11.8859,ok
UWaveGestureLibrary,rocket_ridge,10000,,,,5,0.9249999999999999,1.5985,5.7127,7.3112,ok
UWaveGestureLibrary,rocket_linear,10000,,,,5,0.890625,6.4249,5.7127,12.1376,ok
UWaveGestureLibrary,rocket_ridge,10000,,,,6,0.915625,1.6061,5.6674,7.2735,ok
UWaveGestureLibrary,rocket_linear,10000,,,,6,0.875,6.5427,5.6674,12.2101,ok
UWaveGestureLibrary,rocket_ridge,10000,,,,7,0.9187500000000001,1.591,5.6763,7.2673,ok
UWaveGestureLibrary,rocket_linear,10000,,,,7,0.8875,6.7828,5.6763,12.4591,ok
UWaveGestureLibrary,rocket_ridge,10000,,,,8,0.9125,1.6059,5.5823,7.1882,ok
UWaveGestureLibrary,rocket_linear,10000,,,,8,0.89375,6.3159,5.5823,11.8982,ok
UWaveGestureLibrary,rocket_ridge,10000,,,,9,0.91875,2.1704,5.6649,7.8353,ok
UWaveGestureLibrary,rocket_linear,10000,,,,9,0.915625,6.8622,5.6649,12.5271,ok
