method,dataset,mean,std,n_seeds,depth,until_weight,cell
stl_tree,BasicMotions,0.92500,0.04410,10,1.00000,0.00000,0.925 +- 0.044
stl_tree,Cricket,0.83750,0.04443,10,2.00000,0.00000,0.838 +- 0.044
stl_tree,DuckDuckGeese,0.46400,0.04971,10,2.00000,0.00000,0.464 +- 0.050
stl_tree,ERing,0.76185,0.05990,10,3.00000,0.00000,0.762 +- 0.060
stl_tree,Epilepsy,0.85425,0.03458,10,2.00000,0.00000,0.854 +- 0.035
stl_tree,HandMovementDirection,0.30786,0.05230,10,2.00000,0.00000,0.308 +- 0.052
stl_tree,Heartbeat,0.60929,0.01965,10,2.00000,0.00000,0.609 +- 0.020
stl_tree,RacketSports,0.72780,0.04713,10,3.00000,0.00000,0.728 +- 0.047
stl_tree,StandWalkJump,0.36000,0.10977,10,1.00000,0.00000,0.360 +- 0.110
stl_tree,UWaveGestureLibrary,0.67938,0.03272,10,3.00000,0.00000,0.679 +- 0.033
rocket_ridge,BasicMotions,0.97500,0.00000,10,,,0.975 +- 0.000
rocket_ridge,Cricket,0.99167,0.00717,10,,,0.992 +- 0.007
rocket_ridge,DuckDuckGeese,0.49600,0.04088,10,,,0.496 +- 0.041
rocket_ridge,ERing,0.95852,0.00488,10,,,0.959 +- 0.005
rocket_ridge,Epilepsy,0.97118,0.00600,10,,,0.971 +- 0.006
rocket_ridge,HandMovementDirection,0.41738,0.03266,10,,,0.417 +- 0.033
rocket_ridge,Heartbeat,0.55235,0.01537,10,,,0.552 +- 0.015
rocket_ridge,RacketSports,0.89624,0.01291,10,,,0.896 +- 0.013
rocket_ridge,StandWalkJump,0.53333,0.03143,10,,,0.533 +- 0.031
rocket_ridge,UWaveGestureLibrary,0.91937,0.00411,10,,,0.919 +- 0.004
stl_linear,BasicMotions,0.97000,0.01972,10,2.00000,0.00000,0.970 +- 0.020
stl_linear,Cricket,0.94306,0.02013,10,3.00000,0.00000,0.943 +- 0.020
stl_linear,DuckDuckGeese,0.52600,0.10585,10,1.00000,0.00000,0.526 +- 0.106
stl_linear,ERing,0.86481,0.06066,10,3.00000,0.00000,0.865 +- 0.061
stl_linear,Epilepsy,0.96260,0.01368,10,2.00000,0.00000,0.963 +- 0.014
stl_linear,HandMovementDirection,0.51262,0.06223,10,3.00000,0.00000,0.513 +- 0.062
stl_linear,Heartbeat,0.65427,0.01959,10,3.00000,0.00000,0.654 +- 0.020
stl_linear,RacketSports,0.84607,0.02098,10,2.00000,0.00000,0.846 +- 0.021
stl_linear,StandWalkJump,0.36000,0.05622,10,2.00000,0.00000,0.360 +- 0.056
stl_linear,UWaveGestureLibrary,0.85563,0.01283,10,3.00000,0.00000,0.856 +- 0.013
