dataset,stl_tree,rocket_ridge,stl_linear
BasicMotions,0.925 +- 0.044,0.975 +- 0.000,0.970 +- 0.020
Cricket,0.838 +- 0.044,0.992 +- 0.007,0.943 +- 0.020
DuckDuckGeese,0.464 +- 0.050,0.496 +- 0.041,0.526 +- 0.106
ERing,0.762 +- 0.060,0.959 +- 0.005,0.865 +- 0.061
Epilepsy,0.854 +- 0.035,0.971 +- 0.006,0.963 +- 0.014
HandMovementDirection,0.308 +- 0.052,0.417 +- 0.033,0.513 +- 0.062
Heartbeat,0.609 +- 0.020,0.552 +- 0.015,0.654 +- 0.020
RacketSports,0.728 +- 0.047,0.896 +- 0.013,0.846 +- 0.021
StandWalkJump,0.360 +- 0.110,0.533 +- 0.031,0.360 +- 0.056
UWaveGestureLibrary,0.679 +- 0.033,0.919 +- 0.004,0.856 +- 0.013
